                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.6018,                 1.1171,                 1.0936,                0.89019,                0.72959,                0.79197,                0.38577,                 1.6537,                 1.1363,                 1.1034,              0.0087328,              0.0087328,              0.0087328
                     34,                 1.5327,                 1.0172,                 1.0607,                0.87085,                0.72449,                0.80471,                0.39114,                 1.6277,                 1.0673,                 1.1293,              0.0086932,              0.0086932,              0.0086932
                     35,                  1.485,                  1.104,                 1.0338,                0.87316,                0.73755,                 0.7829,                0.39843,                 1.6099,                 1.1724,                 1.1196,              0.0086536,              0.0086536,              0.0086536
                     36,                 1.6774,                  1.154,                 1.1507,                0.89605,                0.70365,                 0.7971,                0.39826,                 1.6348,                 1.1251,                 1.1524,               0.008614,               0.008614,               0.008614
                     37,                 1.6246,                 1.1224,                 1.1405,                 0.8723,                 0.7319,                0.80233,                0.40254,                 1.6075,                 1.1586,                 1.1758,              0.0085744,              0.0085744,              0.0085744
                     38,                 1.5653,                 1.1144,                 1.0969,                0.87297,                0.71429,                0.78213,                0.41143,                 1.5711,                 1.0612,                 1.1323,              0.0085348,              0.0085348,              0.0085348
                     39,                 1.4793,                 1.0196,                 1.0622,                0.85604,                0.72816,                0.80493,                0.42982,                 1.5407,                 1.0015,                 1.1201,              0.0084952,              0.0084952,              0.0084952
                     40,                 1.6205,                  1.056,                 1.1296,                0.87236,                0.73226,                0.80672,                0.42092,                 1.5534,                 1.0434,                 1.1259,              0.0084556,              0.0084556,              0.0084556
                     41,                 1.5984,                 1.0818,                 1.1182,                0.94293,                0.75871,                0.79522,                0.42947,                 1.5691,                 1.0423,                 1.1207,               0.008416,               0.008416,               0.008416
                     42,                 1.5405,                 1.0474,                  1.135,                0.88623,                0.75514,                0.79594,                0.40446,                 1.5717,                 1.0811,                 1.1308,              0.0083764,              0.0083764,              0.0083764
                     43,                 1.4155,                 0.9334,                 1.0438,                0.93101,                 0.7449,                0.79613,                0.43726,                  1.564,                  1.049,                 1.1222,              0.0083368,              0.0083368,              0.0083368
                     44,                 1.4936,                0.98279,                 1.0802,                 0.8855,                 0.7551,                0.80168,                0.43328,                 1.5648,                 1.0028,                  1.133,              0.0082972,              0.0082972,              0.0082972
                     45,                 1.4756,                0.97998,                 1.0587,                0.89603,                0.74746,                0.81001,                0.44265,                 1.4667,                 1.0016,                 1.1145,              0.0082576,              0.0082576,              0.0082576
                     46,                 1.4963,                0.97405,                 1.1251,                0.89008,                0.74364,                 0.8247,                 0.4505,                 1.4772,                0.99808,                 1.1487,               0.008218,               0.008218,               0.008218
                     47,                  1.473,                0.98766,                 1.0956,                0.87347,                0.73469,                0.80966,                0.42081,                 1.5616,                0.99403,                 1.1712,              0.0081784,              0.0081784,              0.0081784
                     48,                 1.5049,                0.98433,                 1.1163,                0.85464,                0.73469,                0.80647,                 0.4452,                 1.5408,                0.97849,                 1.1557,              0.0081388,              0.0081388,              0.0081388
                     49,                 1.4247,                0.98265,                 1.0489,                0.85137,                0.72959,                0.81989,                0.43623,                 1.5357,                0.96794,                 1.1744,              0.0080992,              0.0080992,              0.0080992
                     50,                 1.5784,                 1.0915,                 1.1415,                0.87657,                0.73469,                 0.8161,                0.43747,                 1.5029,                 1.0058,                 1.1457,              0.0080596,              0.0080596,              0.0080596
                     51,                 1.5362,                0.96842,                 1.1323,                0.89173,                0.71438,                0.79598,                 0.4255,                 1.4906,                 1.0186,                 1.1375,                0.00802,                0.00802,                0.00802
                     52,                 1.4732,                 1.0186,                 1.0903,                0.86512,                0.72449,                0.81046,                0.43156,                 1.4582,                0.99572,                 1.1161,              0.0079804,              0.0079804,              0.0079804
                     53,                 1.4652,                 1.0081,                 1.0451,                0.85033,                 0.7551,                0.83195,                0.46835,                 1.4881,                0.96282,                 1.0944,              0.0079408,              0.0079408,              0.0079408
                     54,                 1.5273,                 1.1193,                 1.0778,                 0.8447,                0.77551,                0.82282,                0.42973,                 1.5136,                 1.0171,                  1.117,              0.0079012,              0.0079012,              0.0079012
                     55,                 1.5704,                 1.0696,                 1.0973,                0.91125,                0.77041,                0.84258,                0.45258,                 1.4871,                0.98217,                 1.1099,              0.0078616,              0.0078616,              0.0078616
                     56,                  1.454,                0.96718,                 1.0962,                0.92538,                0.75922,                0.84968,                0.47726,                 1.4391,                0.92774,                 1.0641,               0.007822,               0.007822,               0.007822
                     57,                 1.4768,                0.98803,                 1.0491,                0.90913,                0.76567,                0.83019,                0.45976,                 1.4418,                 1.0424,                 1.0262,              0.0077824,              0.0077824,              0.0077824
                     58,                 1.5754,                 1.0441,                 1.1195,                0.89137,                0.75358,                0.82933,                0.47475,                 1.4204,                 1.0808,                 1.0418,              0.0077428,              0.0077428,              0.0077428
                     59,                 1.5288,                 1.0909,                  1.123,                0.92947,                0.73961,                0.82426,                0.46336,                 1.3967,                 1.2521,                 1.0794,              0.0077032,              0.0077032,              0.0077032
                     60,                 1.5093,                  1.029,                 1.1388,                0.88297,                 0.7314,                0.81087,                0.45027,                 1.4557,                0.99334,                  1.112,              0.0076636,              0.0076636,              0.0076636
                     61,                 1.4167,                0.94645,                 1.0527,                0.81207,                0.74961,                0.79644,                0.45227,                  1.488,                 1.0281,                 1.1108,               0.007624,               0.007624,               0.007624
                     62,                 1.4872,                0.98652,                 1.0994,                0.91168,                0.73734,                0.83005,                0.46541,                 1.4484,                0.96244,                 1.0952,              0.0075844,              0.0075844,              0.0075844
                     63,                 1.5007,                0.97998,                 1.1369,                0.88849,                0.77237,                0.83097,                0.46009,                 1.4471,                0.94026,                 1.0974,              0.0075448,              0.0075448,              0.0075448
                     64,                 1.4204,                0.88471,                 1.0737,                0.91036,                0.77551,                0.84194,                0.48448,                 1.4269,                 0.8731,                 1.0729,              0.0075052,              0.0075052,              0.0075052
                     65,                 1.3356,                0.83413,                 1.0045,                0.87961,                0.78279,                0.84564,                 0.4896,                  1.412,                0.89014,                 1.0793,              0.0074656,              0.0074656,              0.0074656
                     66,                 1.3819,                0.86161,                 1.0496,                0.90871,                 0.7551,                0.84418,                0.49256,                 1.3563,                 0.8788,                 1.0386,               0.007426,               0.007426,               0.007426
                     67,                  1.503,                0.94337,                 1.0513,                0.89597,                0.74705,                0.83122,                0.48622,                 1.3889,                0.89732,                 1.0551,              0.0073864,              0.0073864,              0.0073864
                     68,                 1.4464,                0.91684,                 1.0692,                0.92004,                0.77551,                0.84827,                0.49149,                 1.3771,                0.84772,                 1.0668,              0.0073468,              0.0073468,              0.0073468
                     69,                 1.3272,                0.83583,                0.95794,                0.92931,                0.80485,                0.86786,                0.48094,                 1.3916,                0.84706,                 1.0742,              0.0073072,              0.0073072,              0.0073072
                     70,                 1.5018,                0.97855,                 1.1282,                0.88663,                0.79806,                0.85887,                0.48316,                 1.3649,                 0.8513,                 1.0687,              0.0072676,              0.0072676,              0.0072676
                     71,                 1.3244,                0.81885,                 1.0618,                0.94137,                 0.7602,                0.85654,                0.50323,                   1.37,                0.85559,                 1.0756,               0.007228,               0.007228,               0.007228
                     72,                 1.3073,                0.84511,                  1.003,                0.91581,                0.77701,                0.86338,                0.48822,                 1.3627,                0.86234,                  1.084,              0.0071884,              0.0071884,              0.0071884
                     73,                 1.3935,                0.88429,                 1.0716,                0.89097,                0.77041,                 0.8586,                0.50434,                 1.3462,                0.83861,                 1.0692,              0.0071488,              0.0071488,              0.0071488
                     74,                 1.2929,                0.81522,                0.96545,                0.95431,                0.78061,                0.86953,                0.51252,                 1.3554,                0.81907,                 1.0554,              0.0071092,              0.0071092,              0.0071092
                     75,                 1.4156,                0.83769,                 1.0332,                0.92889,                0.78571,                0.86454,                0.50578,                 1.3564,                0.85803,                 1.0644,              0.0070696,              0.0070696,              0.0070696
                     76,                 1.3963,                0.87295,                 1.0754,                0.92765,                0.78501,                0.85164,                0.48887,                 1.3842,                0.85139,                 1.0525,                0.00703,                0.00703,                0.00703
                     77,                 1.5088,                 1.0044,                 1.0954,                0.91417,                0.79082,                0.84063,                0.49072,                 1.3282,                0.84804,                 1.0418,              0.0069904,              0.0069904,              0.0069904
                     78,                 1.3701,                0.88909,                  1.039,                 0.8616,                0.78061,                0.85041,                0.48157,                 1.4023,                0.85924,                 1.0696,              0.0069508,              0.0069508,              0.0069508
                     79,                 1.3097,                0.85238,                 1.0082,                0.88285,                0.80745,                0.87697,                0.51602,                 1.3475,                0.81787,                 1.0316,              0.0069112,              0.0069112,              0.0069112
                     80,                  1.272,                0.75489,                0.98039,                0.90248,                0.80269,                0.87698,                0.49177,                 1.3712,                0.85722,                 1.0314,              0.0068716,              0.0068716,              0.0068716
                     81,                 1.3558,                0.80353,                0.99927,                0.88422,                0.81824,                 0.8719,                 0.5236,                 1.3319,                0.83304,                 1.0438,               0.006832,               0.006832,               0.006832
                     82,                   1.36,                0.83374,                 1.0111,                0.90461,                0.79082,                 0.8614,                0.51709,                 1.3614,                0.81877,                 1.0783,              0.0067924,              0.0067924,              0.0067924
                     83,                 1.3692,                0.88763,                 1.0513,                0.91121,                0.78542,                  0.851,                  0.517,                 1.3204,                0.83393,                  1.046,              0.0067528,              0.0067528,              0.0067528
                     84,                 1.3367,                0.81401,                 1.0181,                0.92769,                0.77551,                0.84703,                0.51298,                 1.3035,                0.83307,                  1.042,              0.0067132,              0.0067132,              0.0067132
                     85,                 1.3271,                0.89917,                 1.0235,                0.94363,                0.78061,                0.86176,                0.53777,                 1.2933,                0.82787,                 1.0187,              0.0066736,              0.0066736,              0.0066736
                     86,                 1.3337,                0.80964,                0.97566,                0.94078,                0.77041,                0.84663,                0.51406,                 1.3339,                0.88078,                 1.0143,               0.006634,               0.006634,               0.006634
                     87,                 1.3214,                0.83385,                 1.0062,                0.87039,                0.78804,                0.85154,                0.52279,                 1.3155,                0.83624,                 1.0326,              0.0065944,              0.0065944,              0.0065944
                     88,                 1.3668,                0.83013,                 1.0387,                0.88118,                0.79461,                0.86127,                0.51893,                 1.3114,                0.81239,                 1.0321,              0.0065548,              0.0065548,              0.0065548
                     89,                 1.2334,                0.75215,                0.95046,                0.92037,                0.78571,                0.86803,                0.52345,                 1.3124,                0.78719,                 1.0325,              0.0065152,              0.0065152,              0.0065152
                     90,                 1.3582,                 0.8478,                 1.0116,                0.90565,                0.78355,                0.87551,                0.53166,                 1.3071,                0.78179,                 1.0314,              0.0064756,              0.0064756,              0.0064756
                     91,                 1.2431,                0.72703,                0.96094,                0.90765,                0.80612,                0.88511,                0.53051,                 1.3198,                0.75932,                 1.0242,               0.006436,               0.006436,               0.006436
                     92,                 1.3278,                0.75669,                 1.0136,                0.92872,                0.80612,                0.86909,                0.50977,                  1.344,                0.81807,                 1.0283,              0.0063964,              0.0063964,              0.0063964
                     93,                  1.394,                0.89734,                 1.0267,                0.89068,                0.78977,                0.85732,                0.48175,                 1.4014,                0.84979,                 1.0718,              0.0063568,              0.0063568,              0.0063568
                     94,                 1.2284,                0.78391,                0.94906,                0.88579,                0.77551,                0.86234,                0.50741,                 1.3692,                0.85631,                   1.07,              0.0063172,              0.0063172,              0.0063172
                     95,                 1.4234,                0.84992,                 1.0639,                0.91868,                0.80696,                0.88357,                0.54391,                 1.3028,                0.78335,                 1.0495,              0.0062776,              0.0062776,              0.0062776
                     96,                  1.332,                0.78934,                 1.0047,                0.88473,                0.82236,                0.88494,                0.53262,                 1.2961,                0.79485,                  1.034,               0.006238,               0.006238,               0.006238
                     97,                 1.2914,                0.83067,                0.97384,                0.89849,                0.82143,                0.88794,                0.54698,                 1.2375,                0.77189,                  1.004,              0.0061984,              0.0061984,              0.0061984
                     98,                 1.3099,                0.81824,                 1.0147,                0.90382,                0.81508,                0.86977,                0.54972,                 1.2325,                0.79393,                0.99087,              0.0061588,              0.0061588,              0.0061588
                     99,                 1.2863,                0.78578,                 1.0255,                0.92142,                0.81633,                 0.8697,                0.53282,                  1.271,                0.80738,                 1.0182,              0.0061192,              0.0061192,              0.0061192
                    100,                 1.2788,                0.79025,                0.99003,                0.93489,                0.80584,                0.88516,                0.52924,                 1.2973,                0.75014,                 1.0247,              0.0060796,              0.0060796,              0.0060796
                    101,                 1.2137,                0.72653,                0.93908,                 0.9107,                0.83252,                0.88145,                0.53897,                 1.2675,                0.76167,                 1.0174,                0.00604,                0.00604,                0.00604
                    102,                 1.1473,                0.74339,                0.91089,                0.91763,                0.80612,                0.87403,                0.51935,                  1.309,                0.82441,                 1.0285,              0.0060004,              0.0060004,              0.0060004
                    103,                 1.3272,                0.78897,                 1.0012,                0.91485,                0.82221,                0.87846,                0.54435,                 1.2828,                0.79468,                 1.0166,              0.0059608,              0.0059608,              0.0059608
                    104,                 1.2614,                0.75895,                0.98702,                0.94612,                0.80626,                   0.88,                0.54079,                 1.3008,                0.80331,                 1.0274,              0.0059212,              0.0059212,              0.0059212
                    105,                 1.3206,                0.80549,                 1.0353,                0.94589,                0.83163,                0.88654,                0.53949,                 1.2928,                0.78175,                 1.0199,              0.0058816,              0.0058816,              0.0058816
                    106,                 1.2924,                0.79972,                0.98971,                0.92885,                0.79929,                0.87507,                0.52099,                 1.3451,                0.82363,                 1.0334,               0.005842,               0.005842,               0.005842
                    107,                 1.1635,                0.72316,                0.89338,                0.94473,                0.78483,                0.88272,                0.54499,                 1.2944,                0.80236,                 1.0076,              0.0058024,              0.0058024,              0.0058024
                    108,                 1.1848,                0.72941,                 0.8941,                0.95218,                0.78061,                0.88364,                0.55353,                 1.2703,                 0.7814,                0.99816,              0.0057628,              0.0057628,              0.0057628
                    109,                 1.1579,                0.70098,                0.89944,                0.86798,                0.83858,                0.88556,                0.54767,                 1.3054,                0.77751,                 1.0065,              0.0057232,              0.0057232,              0.0057232
                    110,                 1.2906,                0.76015,                0.96601,                0.87427,                0.82653,                 0.8987,                0.54396,                 1.2939,                0.77821,                 0.9933,              0.0056836,              0.0056836,              0.0056836
                    111,                 1.2611,                0.76287,                0.95108,                0.94603,                0.77551,                0.87196,                0.54386,                 1.3011,                0.78654,                0.99925,               0.005644,               0.005644,               0.005644
                    112,                 1.1939,                0.72957,                0.93881,                0.94965,                0.76987,                0.88536,                0.56276,                 1.2714,                0.73579,                 1.0033,              0.0056044,              0.0056044,              0.0056044
                    113,                 1.1667,                0.69488,                0.91143,                0.92066,                0.82891,                0.89742,                0.56323,                 1.2471,                0.72453,                0.99049,              0.0055648,              0.0055648,              0.0055648
                    114,                 1.2091,                0.72293,                0.91079,                0.91479,                0.81633,                0.89963,                0.56507,                  1.237,                0.73484,                0.99907,              0.0055252,              0.0055252,              0.0055252
                    115,                 1.2063,                0.78741,                 0.9197,                0.80638,                0.78571,                0.84265,                0.51932,                 1.2486,                0.87615,                 1.0052,              0.0054856,              0.0054856,              0.0054856
                    116,                 1.3191,                0.78187,                0.98875,                0.78732,                0.81216,                0.86661,                0.55414,                 1.1961,                0.80605,                0.97559,               0.005446,               0.005446,               0.005446
                    117,                 1.3344,                0.76711,                 1.0047,                0.89291,                 0.8083,                0.88806,                0.56452,                 1.2006,                 0.7374,                0.97416,              0.0054064,              0.0054064,              0.0054064
                    118,                 1.2167,                0.78151,                0.91042,                0.96693,                 0.7458,                0.87128,                0.56194,                 1.2372,                0.79153,                0.97015,              0.0053668,              0.0053668,              0.0053668
                    119,                 1.1472,                0.72301,                0.87902,                0.90909,                 0.8673,                0.90139,                0.55723,                  1.241,                 0.7439,                0.97613,              0.0053272,              0.0053272,              0.0053272
                    120,                  1.203,                0.74342,                 0.9434,                0.95874,                0.82993,                0.90268,                0.58083,                 1.1681,                0.71418,                0.95444,              0.0052876,              0.0052876,              0.0052876
                    121,                 1.1583,                0.71171,                0.91136,                0.95274,                0.80612,                0.90011,                0.57335,                 1.2038,                0.71165,                0.96792,               0.005248,               0.005248,               0.005248
                    122,                 1.2896,                0.74653,                0.97157,                0.93432,                0.79834,                0.88077,                 0.5239,                 1.3416,                0.84221,                  1.019,              0.0052084,              0.0052084,              0.0052084
